program,quality,season,ytm,shipping_mark,brand_name,pss,basket,flow_type,packaging_status,product_code,description,detail_size_description,new_repeat,master_contract,sam,design,widths,color,article,size_name,size_dims,quantity,cancelled_qty,pcb,order_cartons,net_wt_pcs,net_wt_ctn,gross_weight,total_net_wt,total_gross_wt,l,w,h,cbm,total_volume,tag_cards_yellow_tags,line_product_code_stickers,price,total_value,week_date,no_of_days,ytm_ship_dates,initial_fri,etd,comments,merged,etd_remarks,greige_file
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302572,JS MICROFLOR 90,JS90 : FL SHT 160x270 + FITTED 90x200x26 + BC 45x110 ,,,, MICROFLORA/SPRINGS,,WHITE 1,SHEET SET,SINGLE,160X270,1734,,6,289,0.94,5.63,6.13,1627.07,1771.57,36.0,27.5,33.0,0.033,,,,5.15,8930.1,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,no merging,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302573,JS MICROFLOR 135,JS135 : FL SHT 210x270 + FITTED 135x200x26 + 1 BC 45x155,,,, MICROFLORA/SPRINGS,,WHITE 1,SHEET SET,STANDARD,210X270,1525,,5,305,1.23,6.17,6.67,1881.85,2034.35,36.0,27.5,33.0,,,,,6.79,10354.75,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,no merging,,,
SPAIN PRINTS,MICROFIBER,SSH-27,,,,545PV27ESCA0011,5PV27ESCA0001,IMPLANTATION,,I302574,JS MICROFLOR 150,JS150 : FL SHT 230x270 + FITTED 150x200x26 +2 PC 45x80,,,, MICROFLORA/SPRINGS,,WHITE 1,SHEET SET,DOUBLE,230X270,1625,,5,325,1.29,6.46,6.96,2099.5,2262.0,36.0,27.5,33.0,,,,,7.39,12008.75,2026-09-25,52,2026-11-16,2026-12-01,2026-12-18,no merging,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302597,JS ALG CHRIS 90,JS90 : FL SHT 160x270 + FITTED 90x200x28 + BC 45x110 ,,,,CHRIS,,GREEN,SHEET SET,SINGLE,160X270,3000,,6,500,1.26,7.55,8.05,3775.0,4025.0,45.0,27.5,33.0,0.0408375,20.419,,,7.91,23730.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302598,JS ALG CHRIS105,JS105 : FL SHT 175x270 + FITTED 105x200x28 + BC 45x130 ,,,,CHRIS,,GREEN,SHEET SET,S1,175X270,660,,4,165,1.36,5.45,5.95,899.25,981.75,34.0,27.5,33.0,,,,,9.23,6091.8,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302599,JS ALG CHRIS135,JS135 : FL SHT 210x270 + FITTED 135x200x28 + 1 BC 45x155,,,,CHRIS,,GREEN,SHEET SET,STANDARD,210X270,3780,,5,756,1.59,7.95,8.45,6010.2,6388.2,40.0,27.5,33.0,,,,,10.18,38480.4,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302600,JS ALG CHRIS150,JS150 : FL SHT 230x270 + FITTED 150x200x28 +2 PC  45x80 ,,,,CHRIS,,GREEN,SHEET SET,DOUBLE,230X270,4500,,5,900,1.72,8.6,9.1,7740.0,8190.0,51.0,27.5,33.0,,,,,11.31,50895.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302597,JS ALG CHRIS 90,JS90 : FL SHT 160x270 + FITTED 90x200x28 + BC 45x110 ,,,,CHRIS,,GREEN,SHEET SET,SINGLE,160X270,1488,,6,248,1.26,7.55,8.05,1872.4,1996.4,45.0,27.5,33.0,0.0408375,,,,7.91,11770.08,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302599,JS ALG CHRIS135,JS135 : FL SHT 210x270 + FITTED 135x200x28 + 1 BC 45x155,,,,CHRIS,,GREEN,SHEET SET,STANDARD,210X270,1620,,5,324,1.59,7.95,8.45,2575.8,2737.8,40.0,27.5,33.0,,,,,10.18,16491.6,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
SPAIN PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302600,JS ALG CHRIS150,JS150 : FL SHT 230x270 + FITTED 150x200x28 +2 PC  45x80 ,,,,CHRIS,,GREEN,SHEET SET,DOUBLE,230X270,1930,,5,386,1.72,8.6,9.1,3319.6,3512.6,51.0,27.5,33.0,,,,,11.31,21828.3,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
